Date,Open,High,Low,Close,Volume
2023-04-28,29443.26,31796.99,28912.96,29407.79,13.33017
2023-04-29,29398.73,29796.98,29050.01,29214.49,11.92615
2023-04-30,29211.05,29969.82,29056.01,29410.54,6.7549
2023-05-01,29271.23,29380.28,27745.43,28095.7,2.44823
2023-05-02,27985.17,29306.49,27899.89,28685.65,3.30394
2023-05-03,28646.12,29297.2,28145.22,29011.21,1.37311
2023-05-04,29061.05,29476.91,28625.63,28899.31,3.1907
2023-05-05,28818.28,29763.63,28031.0,29583.86,3.70942
2023-05-06,29634.82,29828.0,28371.74,28770.21,2.76653
2023-05-07,28793.5,29316.43,28396.01,28408.46,3.25796
2023-05-08,28377.13,28669.8,27229.49,27670.76,9.55629
2023-05-09,27730.85,27902.13,27411.67,27700.49,1.77416
2023-05-10,27683.36,28547.22,26837.25,27695.42,4.50903
2023-05-11,27695.16,27695.16,26753.24,26958.56,4.82293
2023-05-12,26958.56,27419.0,25740.01,26829.16,21.20652
2023-05-13,26829.17,27000.62,26708.5,26821.56,2.06862
2023-05-14,26734.86,27266.71,26635.62,26968.56,0.90427
2023-05-15,26898.6,27710.92,26728.88,27171.17,3.06624
2023-05-16,27236.02,27356.91,26922.42,27067.56,20.79634
2023-05-17,27077.04,27495.24,26591.17,27411.29,1.56416
2023-05-18,27444.61,27474.74,26478.05,26879.18,2.25831
2023-05-19,26881.74,27225.95,26727.04,26873.68,3.28767
2023-05-20,26883.15,27231.63,26850.6,27088.12,0.55326
2023-05-21,27054.39,27891.0,26662.1,26741.93,1.38289
2023-05-22,26815.08,27099.35,26541.62,26846.59,3.35548
2023-05-23,26896.37,27707.78,26851.96,27245.65,34.11735
2023-05-24,27233.12,27704.0,26098.75,26408.4,5.95482
2023-05-25,26378.02,26637.88,25950.0,26493.64,3.33603
2023-05-26,26500.07,26970.93,26286.67,26744.77,4.41866
2023-05-27,26735.28,26896.45,26554.55,26870.35,11.06528
2023-05-28,26877.87,28200.0,26808.17,28037.66,7.44719
2023-05-29,28098.2,28917.0,27336.64,27790.3,9.80057
2023-05-30,27753.15,28070.93,27624.93,28015.28,4.38033
